考点,province_exam,language_file,registered,present,absent,avg_score,passed,absent_rate,pass_rate_by_present
石家庄西苑小学,河北省,C++,367,360,7,61.71525885558583,205,0.01907356948228883,0.5694444444444444
石家庄西苑小学,河北省,Python,10,9,1,40.45,2,0.1,0.2222222222222222
石家庄西苑小学,河北省,Scratch,16,15,1,54.5625,7,0.0625,0.4666666666666667
福安市第一中学,福建省,C++,20,19,1,64.0,12,0.05,0.631578947368421
福安市第一中学,福建省,Python,1,1,0,79.5,1,0.0,1.0
福安市第一中学,福建省,Scratch,9,9,0,45.666666666666664,2,0.0,0.2222222222222222
福州市阳光实验学校,福建省,C++,87,85,2,61.34705882352941,47,0.022988505747126436,0.5529411764705883
福州市阳光实验学校,福建省,Python,4,4,0,33.0,1,0.0,0.25
福州市阳光实验学校,福建省,Scratch,6,6,0,73.0,6,0.0,1.0
福州第八中学,福建省,C++,387,368,19,56.31496062992126,177,0.04909560723514212,0.48097826086956524
福州第八中学,福建省,Python,2,2,0,59.0,1,0.0,0.5
福州第八中学,福建省,Scratch,5,5,0,57.0,3,0.0,0.6
福建师范大学计算机与网络空间安全学院,福建省,C++,467,436,31,62.67400881057269,267,0.06638115631691649,0.6123853211009175
福建师范大学计算机与网络空间安全学院,福建省,Python,14,11,3,25.464285714285715,1,0.21428571428571427,0.09090909090909091
福建师范大学计算机与网络空间安全学院,福建省,Scratch,42,41,1,60.609756097560975,20,0.023809523809523808,0.4878048780487805
福建师范大学附属中学,福建省,C++,561,541,20,61.04783393501805,295,0.035650623885918005,0.5452865064695009
福建师范大学附属中学,福建省,Python,16,16,0,49.375,7,0.0,0.4375
福建师范大学附属中学,福建省,Scratch,18,17,1,63.388888888888886,12,0.05555555555555555,0.7058823529411765
福建省德化第六中学,福建省,C++,15,15,0,53.36666666666667,6,0.0,0.4
福建省泉州市第七中学江南校区,福建省,C++,226,222,4,64.07300884955752,121,0.017699115044247787,0.545045045045045
福建省泉州市第七中学江南校区,福建省,Python,3,3,0,62.0,2,0.0,0.6666666666666666
福建省泉州市第七中学江南校区,福建省,Scratch,6,5,1,60.333333333333336,4,0.16666666666666666,0.8
福建省泉州第一中学（东海校区）,福建省,C++,75,75,0,44.666666666666664,20,0.0,0.26666666666666666
福建省泉州第一中学（东海校区）,福建省,Python,1,1,0,32.5,0,0.0,0.0
福建省泉州第一中学（东海校区）,福建省,Scratch,1,1,0,57.0,0,0.0,0.0
福建省福州第三中学,福建省,C++,106,97,9,54.60849056603774,52,0.08490566037735849,0.5360824742268041
福建省福州第三中学,福建省,Python,2,2,0,54.0,1,0.0,0.5
福建省福州第三中学,福建省,Scratch,2,2,0,60.0,1,0.0,0.5
福建省福州第十八中学,福建省,C++,308,295,13,66.69967532467533,196,0.04220779220779221,0.6644067796610169
福建省福州第十八中学,福建省,Python,16,15,1,48.0,5,0.0625,0.3333333333333333
福建省福州第十八中学,福建省,Scratch,10,10,0,69.7,8,0.0,0.8
绍兴市上虞区上德实验小学,浙江省,C++,168,166,2,63.08132530120482,95,0.011904761904761904,0.572289156626506
绍兴市上虞区上德实验小学,浙江省,Scratch,27,27,0,62.48148148148148,14,0.0,0.5185185185185185
绍兴市上虞区百官小学,浙江省,C++,191,189,2,65.64921465968587,122,0.010471204188481676,0.6455026455026455
绍兴市上虞区百官小学,浙江省,Scratch,3,2,1,19.333333333333332,0,0.3333333333333333,0.0
绍兴职业技术学院,山东省,C++,3,3,0,88.66666666666667,3,0.0,1.0
绍兴职业技术学院,浙江省,C++,315,307,8,69.516077170418,221,0.025396825396825397,0.7198697068403909
绍兴职业技术学院,浙江省,Python,3,2,1,35.166666666666664,1,0.3333333333333333,0.5
绍兴职业技术学院,浙江省,Scratch,9,9,0,65.22222222222223,6,0.0,0.6666666666666666
肥城市第一高级中学,山东省,C++,76,75,1,62.04,43,0.013157894736842105,0.5733333333333334
肥城市第一高级中学,山东省,Python,9,7,2,41.625,3,0.2222222222222222,0.42857142857142855
芷江侗族自治县第一中学,湖南省,C++,23,22,1,59.108695652173914,13,0.043478260869565216,0.5909090909090909
芷江侗族自治县第一中学,湖南省,Python,1,1,0,61.0,1,0.0,1.0
芷江侗族自治县第一中学,贵州省,C++,1,1,0,61.5,1,0.0,1.0
苏州外国语学校,上海市,C++,2,2,0,87.5,2,0.0,1.0
苏州外国语学校,江苏省,C++,557,529,28,62.21687840290381,314,0.05026929982046679,0.5935727788279773
苏州外国语学校,江苏省,Python,14,12,2,52.53846153846154,5,0.14285714285714285,0.4166666666666667
苏州外国语学校,江苏省,Scratch,22,22,0,65.81818181818181,12,0.0,0.5454545454545454
苏州大学本部校区,上海市,C++,1,1,0,20.0,0,0.0,0.0
苏州大学本部校区,江苏省,C++,189,185,4,59.81481481481482,102,0.021164021164021163,0.5513513513513514
苏州大学本部校区,江苏省,Python,22,21,1,50.93181818181818,9,0.045454545454545456,0.42857142857142855
苏州大学本部校区,江苏省,Scratch,9,9,0,52.22222222222222,5,0.0,0.5555555555555556
苏州大学本部校区,江西省,C++,1,1,0,26.0,0,0.0,0.0
苏州工业园区工业技术学校,江苏省,C++,114,104,10,47.39912280701754,31,0.08771929824561403,0.2980769230769231
苏州工业园区工业技术学校,江苏省,Python,9,7,2,42.888888888888886,4,0.2222222222222222,0.5714285714285714
苏州工业园区工业技术学校,江苏省,Scratch,4,3,1,27.75,0,0.25,0.0
苏州工业园区星海实验初级中学,江苏省,Scratch,6,5,1,38.833333333333336,2,0.16666666666666666,0.4
苏州工业园区景城学校,江苏省,C++,545,529,16,64.8929889298893,329,0.029357798165137616,0.6219281663516069
苏州工业园区景城学校,江苏省,Python,28,26,2,57.18518518518518,13,0.07142857142857142,0.5
苏州工业园区景城学校,江苏省,Scratch,12,12,0,65.41666666666667,9,0.0,0.75
苏州工业园区景城学校,浙江省,C++,2,2,0,29.75,0,0.0,0.0
苏州市吴江区坛丘小学,上海市,C++,1,1,0,88.0,1,0.0,1.0
苏州市吴江区坛丘小学,江苏省,C++,97,95,2,43.208333333333336,25,0.020618556701030927,0.2631578947368421
苏州市吴江区坛丘小学,江苏省,Python,36,31,5,26.180555555555557,3,0.1388888888888889,0.0967741935483871
苏州市吴江区坛丘小学,江苏省,Scratch,44,43,1,58.90909090909091,23,0.022727272727272728,0.5348837209302325
苏州市吴江区实验初级中学,上海市,C++,2,2,0,75.25,2,0.0,1.0
苏州市吴江区实验初级中学,上海市,Python,2,2,0,52.25,1,0.0,0.5
