province_exam,language_file,centers,registered,present,absent,avg_score,passed,absent_rate,avg_center_load,pass_rate_by_present
宁夏回族自治区,C++,2,362,340,22,52.900837988826815,157,0.06077348066298342,181.0,0.46176470588235297
宁夏回族自治区,Python,1,75,72,3,37.38666666666666,11,0.04,75.0,0.1527777777777778
宁夏回族自治区,Scratch,2,275,270,5,58.22545454545455,137,0.01818181818181818,137.5,0.5074074074074074
宁波城市,C++,1,1,1,0,98.0,1,0.0,1.0,1.0
宁波城市,Scratch,1,1,1,0,52.0,0,0.0,1.0,0.0
安徽省,C++,25,3941,3874,67,68.69982147411375,2627,0.01700076122811469,157.64,0.678110480123903
安徽省,Python,9,56,54,2,43.28181818181818,17,0.03571428571428571,6.222222222222222,0.3148148148148148
安徽省,Scratch,16,294,284,10,62.785714285714285,176,0.034013605442176874,18.375,0.6197183098591549
山东省,C++,44,10006,9748,258,64.21916221931326,5905,0.02578452928243054,227.4090909090909,0.6057652851867049
山东省,Python,33,392,380,12,53.34375,156,0.030612244897959183,11.878787878787879,0.4105263157894737
山东省,Scratch,32,843,830,13,64.11401425178147,519,0.01542111506524318,26.34375,0.6253012048192771
山西省,C++,13,944,941,3,66.30561440677967,595,0.0031779661016949155,72.61538461538461,0.6323060573857598
山西省,Python,3,90,89,1,47.02777777777778,29,0.011111111111111112,30.0,0.3258426966292135
山西省,Scratch,4,158,151,7,60.91558441558441,87,0.04430379746835443,39.5,0.5761589403973509
广东省,C++,43,18866,18119,747,62.69965567332006,10717,0.03959503869394678,438.74418604651163,0.5914785584193388
广东省,Python,39,1295,1248,47,50.09797033567526,457,0.036293436293436294,33.205128205128204,0.3661858974358974
广东省,Scratch,40,2717,2618,99,60.154981549815496,1536,0.03643724696356275,67.925,0.586707410236822
广西壮族自治区,C++,4,625,582,43,57.86178861788618,319,0.0688,156.25,0.5481099656357389
广西壮族自治区,Python,2,27,25,2,43.7962962962963,9,0.07407407407407407,13.5,0.36
广西壮族自治区,Scratch,3,69,69,0,58.84057971014493,36,0.0,23.0,0.5217391304347826
新疆生产建设兵团,C++,1,7,7,0,60.857142857142854,4,0.0,7.0,0.5714285714285714
新疆生产建设兵团,Python,1,1,1,0,82.0,1,0.0,1.0,1.0
新疆生产建设兵团,Scratch,1,1,1,0,22.0,0,0.0,1.0,0.0
新疆维吾尔自治区,C++,2,1438,1372,66,57.50351864883885,704,0.0458970792767733,719.0,0.5131195335276968
新疆维吾尔自治区,Python,2,18,17,1,41.22222222222222,3,0.05555555555555555,9.0,0.17647058823529413
